image_idx,true_label,wrong_label,prediction,is_correct
0,7,6,7,True
1,3,0,3,True
2,1,9,1,True
3,2,6,2,True
4,8,7,8,True
5,8,5,1,False
6,5,7,3,False
7,1,9,1,True
8,9,1,9,True
9,1,2,1,True
10,4,3,3,False
11,2,1,2,True
12,8,6,1,False
13,9,0,7,False
14,3,4,3,True
15,1,5,1,True
16,9,4,4,False
17,5,9,4,False
18,8,9,8,True
19,8,1,3,False
20,0,9,0,True
21,4,1,4,True
22,4,3,4,True
23,4,1,4,True
24,5,2,5,True
25,4,1,4,True
26,4,5,4,True
27,3,9,3,True
28,8,3,3,False
29,1,9,1,True
30,2,0,2,True
31,8,6,8,True
32,2,7,2,True
33,7,5,7,True
34,8,0,8,True
35,0,3,0,True
36,7,4,9,False
37,6,9,4,False
38,7,1,1,False
39,7,8,8,False
40,5,9,5,True
41,7,5,7,True
42,6,8,6,True
43,4,8,4,True
44,0,6,0,True
45,1,7,1,True
46,1,8,1,True
47,3,1,3,True
48,1,8,1,True
49,8,7,8,True
50,9,1,7,False
51,8,7,5,False
52,0,3,6,False
53,6,1,6,True
54,2,9,2,True
55,2,0,2,True
56,7,8,9,False
57,2,7,2,True
58,1,6,1,True
59,7,8,7,True
60,2,9,2,True
61,2,5,6,False
62,9,8,9,True
63,6,9,6,True
64,3,4,3,True
65,7,8,7,True
66,5,2,5,True
67,2,8,2,True
68,8,4,8,True
69,9,2,4,False
70,8,1,3,False
71,3,6,3,True
72,1,9,1,True
73,0,7,0,True
74,1,4,1,True
75,2,5,3,False
76,2,1,2,True
77,9,7,9,True
78,9,6,9,True
79,1,5,1,True
80,2,4,2,True
81,0,9,0,True
82,5,9,5,True
83,7,4,9,False
84,4,9,4,True
85,2,1,2,True
86,9,7,9,True
87,9,0,4,False
88,4,1,4,True
89,3,2,3,True
90,5,7,5,True
91,6,8,6,True
92,1,6,1,True
93,3,1,3,True
94,4,6,4,True
95,7,1,7,True
96,5,4,4,False
97,4,5,4,True
98,5,3,5,True
99,0,7,0,True
100,5,6,5,True
101,4,6,4,True
102,6,5,6,True
103,9,5,9,True
104,1,6,1,True
105,9,4,4,False
106,1,7,1,True
107,5,7,5,True
108,5,7,5,True
109,0,9,0,True
110,9,5,4,False
111,8,3,8,True
112,6,0,6,True
113,7,5,7,True
114,9,1,9,True
115,0,5,0,True
116,1,5,1,True
117,3,2,3,True
118,0,9,0,True
119,8,0,8,True
120,3,2,3,True
121,3,7,3,True
122,1,4,1,True
123,8,7,8,True
124,0,6,0,True
125,1,6,1,True
126,7,1,7,True
127,2,9,2,True
128,6,7,6,True
129,7,0,7,True
130,9,4,9,True
131,8,7,8,True
132,6,3,6,True
133,4,6,4,True
134,3,6,2,False
135,2,9,2,True
136,4,5,4,True
137,9,7,9,True
138,3,0,3,True
139,7,8,7,True
140,8,0,8,True
141,9,3,3,False
142,6,7,7,False
143,2,5,2,True
144,2,4,6,False
145,4,8,4,True
146,6,7,6,True
147,8,4,7,False
148,5,3,5,True
149,0,8,0,True
150,7,6,7,True
151,9,6,4,False
152,2,3,2,True
153,5,3,5,True
154,2,3,2,True
155,8,9,8,True
156,3,6,3,True
157,3,1,3,True
158,5,4,2,False
159,1,2,1,True
160,8,3,3,False
161,5,2,0,False
