image_idx,true_label,prediction,is_correct
0,8,3,False
1,5,5,True
2,4,9,False
3,7,7,True
4,5,2,False
5,1,1,True
6,5,9,False
7,1,1,True
8,2,2,True
9,0,0,True
10,8,7,False
11,6,4,False
12,8,8,True
13,3,2,False
14,4,9,False
15,5,5,True
16,8,7,False
17,5,5,True
18,0,0,True
19,6,6,True
20,9,9,True
21,2,2,True
22,8,4,False
23,8,1,False
24,5,4,False
25,8,4,False
26,4,4,True
27,3,3,True
28,5,4,False
29,7,7,True
30,3,3,True
31,7,7,True
32,2,2,True
33,0,0,True
34,2,2,True
35,0,0,True
36,1,1,True
37,8,5,False
38,9,4,False
39,1,1,True
40,2,2,True
41,2,2,True
42,2,7,False
43,4,9,False
44,8,7,False
45,1,1,True
46,1,1,True
47,5,3,False
48,6,6,True
49,4,4,True
50,7,7,True
51,9,4,False
52,6,0,False
53,0,3,False
54,4,4,True
55,9,9,True
56,2,2,True
57,4,9,False
58,8,2,False
59,2,2,True
60,1,1,True
61,9,4,False
62,6,5,False
63,8,4,False
64,7,1,False
65,2,2,True
66,5,3,False
67,8,2,False
68,1,1,True
69,4,7,False
70,6,0,False
71,7,7,True
72,1,1,True
73,7,0,False
74,5,3,False
75,1,1,True
76,7,7,True
77,7,7,True
78,4,4,True
79,2,2,True
80,8,1,False
81,7,3,False
82,5,5,True
83,8,8,True
84,4,4,True
85,0,2,False
86,7,7,True
87,1,1,True
88,3,3,True
89,1,1,True
90,5,3,False
91,8,1,False
92,9,5,False
93,4,4,True
94,2,7,False
95,2,6,False
96,9,4,False
97,9,1,False
98,1,1,True
99,9,4,False
100,0,8,False
101,4,1,False
102,7,7,True
103,9,7,False
104,2,0,False
105,0,2,False
106,8,5,False
107,1,1,True
108,3,3,True
109,2,2,True
110,4,2,False
111,2,2,True
112,8,7,False
113,8,5,False
114,2,2,True
115,7,9,False
116,2,3,False
117,4,9,False
118,4,5,False
119,8,8,True
120,6,6,True
121,0,0,True
122,6,6,True
123,4,9,False
124,1,1,True
125,1,1,True
126,0,4,False
127,2,2,True
128,9,9,True
129,9,8,False
130,7,7,True
131,2,2,True
132,4,4,True
133,1,1,True
134,2,2,True
135,1,1,True
136,0,2,False
137,8,5,False
138,7,7,True
139,0,0,True
140,4,4,True
141,4,2,False
142,7,7,True
143,8,0,False
144,9,9,True
145,8,9,False
146,7,7,True
147,3,3,True
148,7,7,True
149,7,7,True
150,4,4,True
151,3,1,False
152,7,7,True
153,5,3,False
154,9,4,False
155,1,1,True
156,7,7,True
157,7,7,True
158,0,5,False
159,2,2,True
160,4,7,False
161,1,1,True
162,5,1,False
163,3,3,True
164,6,6,True
165,2,2,True
166,6,6,True
167,7,7,True
168,8,8,True
169,8,4,False
170,5,8,False
171,7,1,False
172,3,3,True
173,8,2,False
174,2,2,True
175,3,3,True
176,7,7,True
177,2,4,False
178,5,5,True
